转炉终点C,转炉终点Mn,转炉终点P,钢水净重,连铸正样C,连铸正样Ceq_val,低铝硅铁,石油焦增碳剂,加入C含量,C收得率
0.00065,0.0011,0.00014,74400.0,0.0023,0.466,0,85,134.299,0.914079777213531
0.00077,0.0011,0.00021,74200.0,0.0023,0.474,0,68,130.89000000000001,0.8673389869355947
0.00035,0.0011,0.0002,78250.0,0.0023,0.463,0,90,150.65,1.0128609359442415
0.00048,0.0012,0.0003,73600.0,0.0022,0.454,0,85,145.85,0.8679602331162154
0.00036,0.0009,0.00025,72400.0,0.0024,0.478,0,90,150.65,0.980391636242947
0.00022,0.0007,0.00014,70350.0,0.0023,0.465,0,90,150.65,0.9713109857285096
0.0007,0.0012,0.00013,77800.0,0.0023,0.458,0,58,120.78,1.0306342109620796
0.00063,0.0014,0.00031,73050.0,0.0024,0.478,0,80,141.05,0.916685572492024
0.00106,0.0009,0.00012,74300.0,0.0022,0.46,0,58,122.14000000000001,0.6934828884886196
0.00043,0.0011,0.00021,74850.0,0.0024,0.474,0,85,147.54999999999998,0.9993527617756693
0.0005,0.0016,0.0003,81350.0,0.0023,0.47,0,85,150.26999999999998,0.9744459972050311
0.00042,0.0013,0.00027,73850.0,0.0023,0.468,0,85,151.63,0.915636747345512
0.00072,0.0015,0.00033,74200.0,0.0023,0.467,0,68,91.28999999999999,1.2842151385693943
0.00065,0.0015,0.00029,67400.0,0.0022,0.448,0,75,137.61,0.759174478598939
0.00046,0.001,0.00041,70000.0,0.0022,0.452,0,85,147.04,0.8283460282916214
0.00041,0.0011,0.00028,70000.0,0.0023,0.462,0,93,156.08,0.8476422347514095
0.0004,0.0013,0.00026,70100.0,0.0024,0.481,0,90,151.5,0.9254125412541252
0.00054,0.0012,0.00033,67400.0,0.0023,0.462,0,102,165.57000000000002,0.7164582955849489
0.00067,0.0011,0.00019,64700.0,0.0024,0.469,0,75,136.59,0.8194670180833149
0.00067,0.0012,0.00021,69800.0,0.0023,0.462,0,75,139.31,0.8166965759816237
0.00067,0.0014,0.00035,63300.0,0.0023,0.46,0,75,136.76000000000002,0.7544530564492541
0.00067,0.0011,0.00028,70100.0,0.0022,0.449,0,70,132.98000000000002,0.8065348172657543
0.00068,0.0014,0.00032,67500.0,0.0022,0.452,0,68,130.89000000000001,0.7838643135457254
0.00034,0.001,0.00022,70000.0,0.0024,0.47,0,93,154.38,0.9340588159087965
0.00097,0.0015,0.00029,68400.0,0.0024,0.476,0,51,112.87,0.8665898821653227
0.00067,0.0011,0.00027,62900.0,0.0023,0.46,0,68,130.55,0.7853466104940635
0.00138,0.0011,0.00021,63500.0,0.0024,0.474,0,34,102.25384616000001,0.6334236063712676
0.00065,0.0008,0.00015,66400.0,0.0024,0.47,0,75,136.25,0.8528440366972476
0.00071,0.0009,0.00024,71500.0,0.0024,0.476,0,68,131.23000000000002,0.9207879295892705
0.00085,0.0013,0.00022,72800.0,0.0023,0.468,0,51,119.47484616000001,0.8835332573572403
0.00066,0.0009,0.00024,70000.0,0.0023,0.462,0,68,131.145,0.8753669602348545
0.00034,0.0007,0.00028,70600.0,0.0024,0.478,0,85,146.83599999999998,0.9904655534065215
0.0007,0.0011,0.00032,74400.0,0.0023,0.459,0,68,130.312,0.9134999079133156
0.00072,0.0011,0.00017,70000.0,0.0024,0.468,0,68,104.88,1.1212814645308924
0.0003,0.0005,0.00016,71750.0,0.0023,0.469,0,85,145.85,0.9838875557079191
0.00066,0.0011,0.00021,74750.0,0.0024,0.465,0,68,129.53,1.0041303173010114
0.00073,0.0013,0.00032,71700.0,0.0024,0.477,0,68,130.04,0.9207859120270686
0.00054,0.0014,0.00033,76100.0,0.0023,0.465,0,80,142.41,0.9404957517028297
0.00049,0.0014,0.00027,72250.0,0.0023,0.454,0,85,147.38,0.8873151038132719
0.00019,0.0005,0.00015,73000.0,0.0024,0.465,0,85,147.72,1.0921337665854318
0.00041,0.0009,0.00019,73000.0,0.0023,0.467,0,85,147.04,0.9383161044613711
0.00033,0.0009,0.00016,72600.0,0.0022,0.451,0,85,146.01999999999998,0.9297493494041913
0.00101,0.001,0.00012,70500.0,0.0023,0.465,0,51,117.72384616000001,0.7725282766959165
0.00072,0.0006,0.0001,70450.0,0.0024,0.466,0,68,129.36,0.9149350649350647
0.00076,0.0007,0.00012,71150.0,0.0023,0.453,0,68,129.7,0.8448033924441019
0.00069,0.0007,0.00016,69950.0,0.0023,0.463,0,68,130.38,0.8637789538272741
0.00073,0.001,0.00019,70300.0,0.0023,0.463,0,51,112.36000000000001,0.9822979708081166
0.00072,0.001,0.0002,69250.0,0.0024,0.478,0,68,129.02,0.9017206634630287
0.00108,0.0013,0.00033,75200.0,0.0024,0.473,0,51,117.38384616,0.8456359477665967
0.00077,0.0007,0.00016,72300.0,0.0024,0.476,0,51,113.38,1.0394161227729757
0.0008,0.0006,0.00013,70400.0,0.0023,0.466,0,51,113.38,0.9313811959781267
0.00077,0.0008,0.00023,70450.0,0.0023,0.461,0,54,116.25999999999999,0.9271331498365734
0.00086,0.0009,0.00021,75200.0,0.0024,0.471,0,51,114.06,1.015325267403121
0.00093,0.0006,0.00016,71700.0,0.0024,0.466,0,68,130.04000000000002,0.810512150107659
0.00077,0.0011,0.00027,74050.0,0.0023,0.461,0,51,113.72,0.9962759409074922
0.00076,0.0008,0.00018,72000.0,0.0024,0.47,0,54,116.43,1.014171605256377
0.00042,0.0009,0.00019,72900.0,0.0023,0.465,0,95,143.61,0.9543346563609775
0.0008,0.0012,0.00026,73150.0,0.0024,0.478,0,75,123.9,0.9446327683615818
0.00059,0.0011,0.00025,74000.0,0.0023,0.474,0,90,139.49,0.9071618037135277
0.00052,0.0009,0.00018,75650.0,0.0024,0.475,0,93,141.86,1.0025518116452838
0.00119,0.0014,0.00021,68300.0,0.0023,0.462,0,40,94.81384616,0.799598403297175
0.00104,0.0014,0.00021,72800.0,0.0022,0.453,0,51,104.86384616,0.8053109159390385
0.00069,0.0014,0.00026,72000.0,0.0023,0.467,0,80,128.02,0.9054835182002811
0.00071,0.0013,0.00027,72150.0,0.0022,0.455,0,80,128.70000000000002,0.8353030303030302
0.00074,0.0009,0.00013,71750.0,0.0023,0.471,0,80,128.36,0.8720006232471174
0.0006,0.0011,0.00021,71050.0,0.0023,0.467,0,85,133.5,0.9047565543071162
0.001,0.0016,0.0002,71500.0,0.0022,0.455,0,51,105.37384616000001,0.814243791288789
0.00088,0.0011,0.00013,69000.0,0.0022,0.47,0,60,113.67384616,0.801239714118599
0.00069,0.0008,0.00012,77900.0,0.0022,0.456,0,75,124.41,0.9454947351499077
0.00078,0.0014,0.00034,67050.0,0.0024,0.484,0,68,117.35000000000002,0.925615679590967
0.00053,0.0009,0.00018,74050.0,0.0023,0.458,0,102,150.16,0.8728589504528503
0.0014,0.001,0.00026,73100.0,0.0023,0.471,0,34,90.37984616,0.7279277714583796
0.00063,0.0011,0.00025,73850.0,0.0023,0.458,0,85,133.5,0.9238164794007492
0.00097,0.0007,0.00017,75150.0,0.0023,0.46,0,51,106.56384616000001,0.9379306735037611
0.00071,0.0012,0.00018,75900.0,0.0023,0.46,0,85,134.945,0.8942976768313016
0.00061,0.0011,0.00029,74000.0,0.0024,0.474,0,85,133.755,0.9903181189488245
0.00067,0.001,0.00013,70450.0,0.0023,0.457,0,51,99.56799999999998,1.1533173308693558
