转炉终点C,转炉终点P,钢水净重,连铸正样Mn,连铸正样Si,连铸正样Ceq_val,连铸正样Cr,连铸正样V_val,连铸正样Mo_val,连铸正样Ti_val,低铝硅铁,钒氮合金(进口),钒铁(FeV50-B).1,硅铝钙,硅铝合金FeAl30Si25,硅锰面（硅锰渣）,碳化硅(55%),加入C含量,C收得率,加入Mn含量,Mn收得率
0.00065,0.00014,74400.0,0.0133,0.0033,0.466,0.0027,0.033,0.0026,0.0,0,10,32,25,0,0,88,134.299,0.914079777213531,1027.208,0.8836379778973683
0.00077,0.00021,74200.0,0.0137,0.0038,0.474,0.0033,0.031,0.0029,0.0,0,4,40,25,0,0,132,130.89000000000001,0.8673389869355947,1015.9200000000001,0.9202693125442947
0.00035,0.0002,78250.0,0.013,0.0035,0.463,0.0034,0.034,0.0028,0.0,0,4,40,75,0,0,132,150.65,1.0128609359442415,962.8000000000001,0.9671530951391772
0.00048,0.0003,73600.0,0.0131,0.0037,0.454,0.0033,0.033,0.004,0.0,0,4,40,50,0,0,132,145.85,0.8679602331162154,962.8000000000001,0.9096800997091815
0.00036,0.00025,72400.0,0.0133,0.0038,0.478,0.0037,0.034,0.0033,0.0,0,4,40,75,0,0,132,150.65,0.980391636242947,962.8000000000001,0.9324470294972995
0.00022,0.00014,70350.0,0.0132,0.0037,0.465,0.0027,0.033,0.0034,0.0,0,4,40,75,0,0,132,150.65,0.9713109857285096,962.8000000000001,0.9133516825924387
0.0007,0.00013,77800.0,0.0128,0.0034,0.458,0.003,0.032,0.0019,0.0,0,5,41,50,0,0,132,120.78,1.0306342109620796,996.0,0.9061044176706827
0.00063,0.00031,73050.0,0.0134,0.0038,0.478,0.003,0.032,0.0029,0.0,0,4,40,50,0,0,132,141.05,0.916685572492024,962.8000000000001,0.9104694640631491
0.00106,0.00012,74300.0,0.0135,0.0038,0.46,0.003,0.034,0.0034,0.0,0,5,40,25,0,0,132,122.14000000000001,0.6934828884886196,1049.1200000000001,0.8923478725026688
0.00043,0.00021,74850.0,0.0132,0.0036,0.474,0.0025,0.033,0.0022,0.0,0,5,41,75,0,220,132,147.54999999999998,0.9993527617756693,1029.2,0.8799893120870578
0.0005,0.0003,81350.0,0.0136,0.0037,0.47,0.0026,0.031,0.0026,0.0,0,5,42,75,0,220,132,150.26999999999998,0.9744459972050311,1135.44,0.8597548087085182
0.00042,0.00027,73850.0,0.0135,0.0037,0.468,0.0023,0.033,0.0026,0.0,0,5,40,50,0,200,132,151.63,0.915636747345512,1188.56,0.7580349330282021
0.00072,0.00033,74200.0,0.0135,0.0037,0.467,0.0021,0.033,0.0025,0.0,0,4,40,25,0,220,0,91.28999999999999,1.2842151385693943,1015.9200000000001,0.8764469643278997
0.00065,0.00029,67400.0,0.0129,0.0035,0.448,0.0022,0.032,0.0029,0.0,0,5,41,25,0,0,132,137.61,0.759174478598939,1015.9200000000001,0.7563193952279706
0.00046,0.00041,70000.0,0.0131,0.0039,0.452,0.0024,0.032,0.003,0.0,0,4,39,75,0,0,132,147.04,0.8283460282916214,1009.2800000000001,0.8392121116043119
0.00041,0.00028,70000.0,0.0131,0.0036,0.462,0.0025,0.032,0.0027,0.0,0,5,40,50,0,200,132,156.08,0.8476422347514095,1062.4,0.7906626506024096
0.0004,0.00026,70100.0,0.0136,0.0037,0.481,0.0027,0.033,0.0031,0.0,0,4,38,50,0,200,132,151.5,0.9254125412541252,996.0,0.8656927710843373
0.00054,0.00033,67400.0,0.0131,0.0036,0.462,0.0022,0.035,0.0039,0.0,0,7,44,50,0,200,132,165.57000000000002,0.7164582955849489,1095.6000000000001,0.732073749543629
0.00067,0.00019,64700.0,0.0129,0.0037,0.469,0.0025,0.033,0.0033,0.0,0,4,40,25,0,200,132,136.59,0.8194670180833149,976.0800000000002,0.7821694943037455
0.00067,0.00021,69800.0,0.0131,0.0036,0.462,0.0026,0.034,0.0033,0.0,0,7,44,25,0,200,132,139.31,0.8166965759816237,1082.3200000000002,0.7674440091654963
0.00067,0.00035,63300.0,0.013,0.0037,0.46,0.0024,0.033,0.0034,0.0,0,4,40,25,0,200,132,136.76000000000002,0.7544530564492541,982.72,0.7471914685770107
0.00067,0.00028,70100.0,0.0129,0.0037,0.449,0.0027,0.033,0.0031,0.0,0,4,40,0,0,200,132,132.98000000000002,0.8065348172657543,1022.56,0.8089305273040213
0.00068,0.00032,67500.0,0.0131,0.0038,0.452,0.0025,0.032,0.0036,0.0,0,4,40,25,0,200,132,130.89000000000001,0.7838643135457254,1015.9200000000001,0.7773742026931254
0.00034,0.00022,70000.0,0.013,0.0037,0.47,0.0025,0.032,0.0032,0.0,0,4,40,50,0,200,132,154.38,0.9340588159087965,996.0,0.8433734939759037
0.00097,0.00029,68400.0,0.0133,0.0039,0.476,0.0024,0.034,0.0031,0.0,0,4,38,25,0,200,132,112.87,0.8665898821653227,949.52,0.8500294885837054
0.00067,0.00027,62900.0,0.013,0.0037,0.46,0.0023,0.032,0.0028,0.0,0,4,40,50,0,200,132,130.55,0.7853466104940635,1002.6400000000001,0.7465391366791669
0.00138,0.00021,63500.0,0.0133,0.0037,0.474,0.0021,0.032,0.0034,0.0,0,4,40,0,0,200,132,102.25384616000001,0.6334236063712676,996.0,0.7778112449799196
0.00065,0.00015,66400.0,0.013,0.0036,0.47,0.0024,0.033,0.0027,0.0,0,4,38,25,0,200,132,136.25,0.8528440366972476,962.8,0.8413793103448276
0.00071,0.00024,71500.0,0.0134,0.0036,0.476,0.0023,0.031,0.0023,0.0,0,10,32,25,0,200,132,131.23000000000002,0.9207879295892705,1029.2,0.8683929265448892
0.00085,0.00022,72800.0,0.0135,0.004,0.468,0.0022,0.034,0.0021,0.0,0,11,33,0,0,0,132,119.47484616000001,0.8835332573572403,1031.192,0.8612945018968339
0.00066,0.00024,70000.0,0.0132,0.0035,0.462,0.0018,0.034,0.0024,0.0,0,10,32,25,0,0,132,131.145,0.8753669602348545,1025.88,0.8392794478886418
0.00034,0.00028,70600.0,0.0135,0.0036,0.478,0.002,0.034,0.0023,0.0,0,10,32,50,0,0,132,146.83599999999998,0.9904655534065215,1001.312,0.9024959253459461
0.0007,0.00032,74400.0,0.013,0.0036,0.459,0.0022,0.033,0.0027,0.0,0,10,32,25,0,0,132,130.312,0.9134999079133156,993.344,0.8912924424972616
0.00072,0.00017,70000.0,0.013,0.0036,0.468,0.0017,0.032,0.0029,0.0,0,8,25,50,0,0,132,104.88,1.1212814645308924,0.0,inf
0.0003,0.00016,71750.0,0.0135,0.0038,0.469,0.0017,0.038,0.0035,0.0,0,4,40,75,0,0,132,145.85,0.9838875557079191,962.8000000000001,0.9687889488990444
0.00066,0.00021,74750.0,0.0128,0.0036,0.465,0.002,0.033,0.0022,0.0,0,4,40,25,0,0,132,129.53,1.0041303173010114,962.8000000000001,0.9083662235147486
0.00073,0.00032,71700.0,0.0135,0.0037,0.477,0.0017,0.032,0.0023,0.0,0,4,40,25,0,0,132,130.04,0.9207859120270686,982.72,0.8901212959947898
0.00054,0.00033,76100.0,0.0134,0.0036,0.465,0.002,0.033,0.0021,0.0,0,32,0,50,0,0,132,142.41,0.9404957517028297,1015.9200000000001,0.8988896763524686
0.00049,0.00027,72250.0,0.0128,0.0035,0.454,0.0012,0.033,0.0024,0.0,0,31,0,50,0,0,132,147.38,0.8873151038132719,1022.5600000000001,0.8054784071350336
0.00019,0.00015,73000.0,0.0129,0.0036,0.465,0.0012,0.032,0.0028,0.0,0,31,0,75,0,0,132,147.72,1.0921337665854318,1035.8400000000001,0.8738801359283285
0.00041,0.00019,73000.0,0.0135,0.0037,0.467,0.0017,0.033,0.0026,0.0,0,5,40,50,0,0,132,147.04,0.9383161044613711,1009.2800000000001,0.9113427393785668
0.00033,0.00016,72600.0,0.0132,0.0036,0.451,0.0017,0.033,0.0027,0.0,0,5,38,50,0,0,132,146.01999999999998,0.9297493494041913,969.44,0.9211297243769598
0.00101,0.00012,70500.0,0.0134,0.0038,0.465,0.0016,0.034,0.0034,0.0,0,5,38,0,0,0,132,117.72384616000001,0.7725282766959165,962.8000000000001,0.907976734524304
0.00072,0.0001,70450.0,0.0129,0.0035,0.466,0.0014,0.034,0.0026,0.0,0,5,38,25,0,0,132,129.36,0.9149350649350647,956.1600000000001,0.9062656877510039
0.00076,0.00012,71150.0,0.0127,0.0035,0.453,0.0016,0.034,0.0023,0.0,0,5,28,25,0,0,132,129.7,0.8448033924441019,969.44,0.8807146393794356
0.00069,0.00016,69950.0,0.0133,0.0037,0.463,0.0015,0.033,0.0035,0.0,0,10,30,25,0,0,132,130.38,0.8637789538272741,996.0,0.8849096385542169
0.00073,0.00019,70300.0,0.0133,0.0035,0.463,0.0016,0.031,0.0022,0.0,0,10,30,25,0,0,132,112.36000000000001,0.9822979708081166,929.6,0.9301742685025817
0.00072,0.0002,69250.0,0.0135,0.0039,0.478,0.002,0.034,0.0052,0.0,0,32,0,25,0,0,132,129.02,0.9017206634630287,942.88,0.9180648650941795
0.00108,0.00033,75200.0,0.0133,0.0037,0.473,0.0021,0.03,0.0022,0.0,0,10,30,0,0,0,132,117.38384616,0.8456359477665967,949.5200000000001,0.9503749262785406
0.00077,0.00016,72300.0,0.0134,0.0035,0.476,0.0023,0.033,0.0027,0.0,0,10,30,25,0,0,132,113.38,1.0394161227729757,969.44,0.9471550585905265
0.0008,0.00013,70400.0,0.0133,0.0038,0.466,0.0026,0.035,0.004,0.0,0,10,30,25,0,0,132,113.38,0.9313811959781267,969.44,0.9222644000660174
0.00077,0.00023,70450.0,0.0131,0.0035,0.461,0.002,0.033,0.0026,0.0,0,10,30,25,0,200,132,116.25999999999999,0.9271331498365734,969.44,0.8938510892886614
0.00086,0.00021,75200.0,0.0131,0.0036,0.471,0.0022,0.033,0.0026,0.0,0,10,30,25,0,200,132,114.06,1.015325267403121,996.0,0.9211244979919679
0.00093,0.00016,71700.0,0.0129,0.0035,0.466,0.0018,0.034,0.0026,0.0,0,10,30,25,0,200,132,130.04000000000002,0.810512150107659,982.72,0.8974173721914686
0.00077,0.00027,74050.0,0.0131,0.0035,0.461,0.0023,0.031,0.0025,0.0,0,10,30,25,0,200,132,113.72,0.9962759409074922,982.72,0.9042250081406707
0.00076,0.00018,72000.0,0.0131,0.0036,0.47,0.0018,0.031,0.0025,0.0,0,9,29,25,0,200,132,116.43,1.014171605256377,976.0800000000002,0.9073026801081877
0.00042,0.00019,72900.0,0.0133,0.0036,0.465,0.0023,0.033,0.0027,0.0,0,10,30,50,0,200,88,143.61,0.9543346563609775,1015.9200000000001,0.8897944720056696
0.0008,0.00026,73150.0,0.0135,0.0036,0.478,0.0023,0.033,0.0026,0.0,0,10,32,25,0,200,88,123.9,0.9446327683615818,996.0,0.9033584337349397
0.00059,0.00025,74000.0,0.0138,0.0036,0.474,0.0025,0.034,0.0036,0.0,0,10,32,50,0,200,88,139.49,0.9071618037135277,1042.48,0.9015041055943519
0.00052,0.00018,75650.0,0.0134,0.0039,0.475,0.0021,0.033,0.0029,0.0,0,10,33,50,0,200,88,141.86,1.0025518116452838,1022.56,0.9247623611328432
0.00119,0.00021,68300.0,0.0132,0.0035,0.462,0.002,0.033,0.0028,0.0,0,10,30,0,0,200,88,94.81384616,0.799598403297175,996.0,0.8091767068273091
0.00104,0.00021,72800.0,0.0132,0.0035,0.453,0.0022,0.035,0.003,0.0,0,10,30,0,0,200,88,104.86384616,0.8053109159390385,976.0800000000002,0.8800917957544462
0.00069,0.00026,72000.0,0.0134,0.0034,0.467,0.0024,0.036,0.0031,0.0,0,10,31,25,0,200,88,128.02,0.9054835182002811,969.44,0.8912361775870605
0.00071,0.00027,72150.0,0.0133,0.0034,0.455,0.0025,0.034,0.0028,0.0,0,10,30,25,0,200,88,128.70000000000002,0.8353030303030302,996.0,0.869277108433735
0.00074,0.00013,71750.0,0.0137,0.0036,0.471,0.0021,0.034,0.0024,0.0,0,10,30,25,0,200,88,128.36,0.8720006232471174,982.72,0.9345490068381636
0.0006,0.00021,71050.0,0.0135,0.0035,0.467,0.0021,0.033,0.0025,0.0,0,0,31,25,0,200,88,133.5,0.9047565543071162,996.0,0.8845582329317269
0.001,0.0002,71500.0,0.0133,0.0035,0.455,0.0024,0.034,0.0028,0.0,0,10,31,0,0,200,88,105.37384616000001,0.814243791288789,996.0,0.8399096385542169
0.00088,0.00013,69000.0,0.0142,0.0038,0.47,0.002,0.036,0.0023,0.0,0,10,32,0,0,200,88,113.67384616,0.801239714118599,982.72,0.9197940410289809
0.00069,0.00012,77900.0,0.0134,0.0035,0.456,0.0018,0.035,0.0023,0.0,0,11,33,25,0,200,88,124.41,0.9454947351499077,1015.9200000000001,0.9661587526576895
0.00078,0.00034,67050.0,0.0139,0.0038,0.484,0.0019,0.034,0.0026,0.0,0,10,30,25,0,200,88,117.35000000000002,0.925615679590967,1002.6400000000001,0.8359181760153194
0.00053,0.00018,74050.0,0.013,0.0033,0.458,0.0017,0.033,0.0018,0.0,0,10,32,50,0,200,88,150.16,0.8728589504528503,1009.28,0.8877665266328472
0.0014,0.00026,73100.0,0.0137,0.0037,0.471,0.0021,0.035,0.0016,0.001,0,10,32,0,0,300,88,90.37984616,0.7279277714583796,1047.7920000000001,0.8860250889489516
0.00063,0.00025,73850.0,0.013,0.0034,0.458,0.0019,0.033,0.0,0.001,0,10,33,25,0,300,88,133.5,0.9238164794007492,996.0000000000001,0.88234437751004
0.00097,0.00017,75150.0,0.0131,0.0034,0.46,0.0018,0.033,0.0017,0.001,0,11,33,0,0,300,88,106.56384616000001,0.9379306735037611,1042.48,0.8938876525209117
0.00071,0.00018,75900.0,0.0131,0.0036,0.46,0.0017,0.034,0.0005,0.001,0,12,33,25,0,300,88,134.945,0.8942976768313016,1052.44,0.8582056934362053
0.00061,0.00029,74000.0,0.0133,0.0035,0.474,0.0023,0.034,0.001,0.001,0,10,32,25,0,300,88,133.755,0.9903181189488245,1005.96,0.8974511909022227
0.00067,0.00013,70450.0,0.0129,0.0035,0.457,0.0019,0.034,0.0002,0.001,0,10,30,25,0,300,88,99.56799999999998,1.1533173308693558,945.5360000000001,0.8866452467172059
0.00082,0.00014,75500.0,0.0131,0.0034,0.46,0.0018,0.034,0.0,0.001,0,10,30,0,0,300,88,121.91484616000001,0.9165413689925291,1004.6320000000001,0.939398705197525
0.00092,0.00027,75500.0,0.0134,0.0033,0.475,0.0017,0.035,0.0,0.001,0,11,32,0,0,300,88,105.71384616000002,1.0570043949671386,1009.2800000000001,0.9126307863031071
0.00069,0.00016,77700.0,0.0128,0.0033,0.454,0.0015,0.034,0.0,0.001,0,11,32,25,0,300,88,117.69,1.062936528167219,1015.9200000000001,0.9024923222300969
0.0004,0.00011,73600.0,0.013,0.0034,0.468,0.0014,0.034,0.0003,0.001,0,11,32,50,0,300,88,133.94199999999998,1.0989831419569662,1013.2640000000001,0.8861658955612751
0.00042,0.00016,74250.0,0.0129,0.0035,0.457,0.0018,0.036,0.0015,0.001,0,11,32,25,0,300,88,118.064,1.1823248407643314,1030.528,0.871810372935039
0.00035,0.00026,73200.0,0.0133,0.0037,0.473,0.0015,0.036,0.0011,0.001,0,32,0,50,0,0,88,150.568,0.9966261091334145,1025.2160000000001,0.8853548910668579
0.00061,0.00016,74700.0,0.0134,0.0038,0.474,0.0016,0.032,0.0,0.001,0,9,29,25,0,200,132,129.70000000000002,1.0309406322282189,969.44,0.9631849315068493
0.00101,0.00011,70800.0,0.0131,0.0037,0.458,0.0014,0.032,0.0002,0.001,0,9,28,25,0,200,132,114.4,0.7983566433566432,1009.28,0.8768627140139506
0.00076,0.00015,68500.0,0.0132,0.0039,0.46,0.0015,0.032,0.0,0.001,0,9,28,25,0,200,132,128.68,0.8197855144544606,929.6000000000001,0.9063575731497417
0.00075,0.00022,72900.0,0.0132,0.0038,0.451,0.0015,0.033,0.0,0.001,0,4,38,25,0,200,132,130.21,0.811804008908686,989.3600000000001,0.8915763726045118
0.00078,0.00033,74000.0,0.0133,0.0037,0.453,0.002,0.035,0.0001,0.001,0,4,38,25,0,200,132,113.89000000000001,0.9226446571252963,989.3600000000001,0.8975499312686989
0.00094,0.00028,72500.0,0.0132,0.0038,0.471,0.0016,0.034,0.0,0.001,0,4,38,0,0,200,132,118.06384616000001,0.896548803403814,976.0800000000002,0.8913203835751167
0.00077,0.00032,72850.0,0.0131,0.0038,0.47,0.002,0.035,0.0,0.001,0,4,39,25,0,200,132,130.21,0.9119537669917824,989.3600000000001,0.8762381741732028
0.0008,0.00017,74200.0,0.0134,0.0037,0.475,0.0017,0.034,0.0,0.001,0,4,39,25,0,200,132,114.06,1.0408556899877257,996.0,0.9163253012048193
0.00076,0.00021,73800.0,0.0132,0.0035,0.451,0.0019,0.035,0.0,0.001,0,4,39,25,0,200,132,130.04000000000002,0.8172254690864349,982.72,0.8936624877889938
0.0007,0.00012,75400.0,0.0128,0.0035,0.453,0.0013,0.035,0.0,0.001,0,32,0,50,0,200,132,130.72,0.9228886168910648,1009.28,0.9039513316423591
0.00076,0.00021,70300.0,0.014,0.0045,0.455,0.0016,0.035,0.0003,0.001,0,31,0,25,0,200,132,130.72,0.7206395348837208,1009.28,0.8985316265060241
0.00076,0.00032,64200.0,0.014,0.0044,0.465,0.0019,0.036,0.0004,0.001,0,33,0,25,0,200,132,132.08,0.699939430648092,1062.4,0.7674510542168673
0.00078,0.00021,71750.0,0.0137,0.0041,0.47,0.0017,0.035,0.0011,0.001,0,32,0,25,0,200,132,131.06,0.8321379520830154,1022.56,0.8911213033953997
0.00038,0.00023,71450.0,0.0137,0.0037,0.469,0.0013,0.037,0.0007,0.001,0,32,0,0,75,0,132,149.0205,0.920571330790059,1075.68,0.8369310575635877
0.00063,0.00018,72050.0,0.013,0.0038,0.448,0.0017,0.034,0.0012,0.001,0,4,39,25,0,200,132,136.42000000000002,0.8291929335874505,969.44,0.8918550915992738
